Country,Year,Share of GDP,Share of Gov Spending,Per Capita,Current USD Amount ($million),Sunni,Shi'ite,Jewish
Kuwait,2002,0.074,0.177,1381.6,2822,1,0,0
Lebanon,2002,0.047,0.131,257.6,907,1,0,0
Oman,2002,0.124,0.316,1072.4,2491,1,0,0
Qatar,2002,0.039,0.125,1199.6,761,1,0,0
Saudi Arabia,2002,0.098,0.272,816.2,18502,1,0,0
Syria,2002,0.054,0.174,64.9,1103,1,0,0
Turkey,2002,0.039,0.090,139.0,9050,1,0,0
UAE,2002,0.049,0.229,1577.5,5354,1,0,0
Yemen,2002,0.060,0.224,39.2,737,1,0,0
Bahrain,2003,0.047,0.159,677.5,516,0,1,0
Egypt,2003,0.033,0.095,33.0,2384,1,0,0
Iran,2003,0.027,0.121,54.2,3717,0,1,0
Iraq,2003,,,,,1,0,0
Israel,2003,0.085,0.171,1688.4,10722,0,0,1
Jordan,2003,0.060,0.162,121.3,612,1,0,0
Kuwait,2003,0.065,0.177,1493.7,3131,1,0,0
Lebanon,2003,0.046,0.130,249.5,923,1,0,0
Oman,2003,0.122,0.313,1100.9,2626,1,0,0
Qatar,2003,0.033,0.116,1174.3,785,1,0,0
Saudi Arabia,2003,0.087,0.262,802.6,18747,1,0,0
Syria,2003,0.062,0.191,83.0,1436,1,0,0
Turkey,2003,0.034,0.082,155.6,10278,1,0,0
UAE,2003,0.047,0.234,1609.2,5835,1,0,0
Yemen,2003,0.060,0.194,41.7,807,1,0,0
Bahrain,2004,0.040,0.155,658.3,532,1,0,0
Egypt,2004,0.030,0.089,32.2,2370,1,0,0
Iran,2004,0.031,0.152,75.6,5244,0,1,0
Iraq,2004,0.017,0.018,23.3,614,1,0,0
Israel,2004,0.081,0.176,1703.2,11020,0,0,1
Jordan,2004,0.051,0.137,113.5,587,1,0,0
Kuwait,2004,0.058,0.170,1592.6,3450,1,0,0
Lebanon,2004,0.045,0.135,247.1,955,1,0,0
Oman,2004,0.121,0.308,1214.9,2974,1,0,0
Qatar,2004,0.024,0.084,1055.0,772,1,0,0
Saudi Arabia,2004,0.081,0.260,869.3,20910,1,0,0
Syria,2004,0.055,0.177,78.6,1389,1,0,0
Turkey,2004,0.028,0.078,163.1,10921,1,0,0
UAE,2004,0.046,0.260,1714.5,6817,1,0,0
Yemen,2004,0.047,0.155,36.9,735,1,0,0
Bahrain,2005,0.032,0.129,592.0,513,0,1,0
Egypt,2005,0.029,0.086,35.5,2659,1,0,0
Iran,2005,0.033,0.141,96.9,6797,0,1,0
Iraq,2005,0.022,0.035,41.5,1120,1,0,0
Israel,2005,0.076,0.167,1638.0,10817,0,0,1
Jordan,2005,0.048,0.121,113.2,604,1,0,0
Kuwait,2005,0.043,0.154,1550.4,3509,1,0,0
Lebanon,2005,0.045,0.142,241.4,963,1,0,0
Oman,2005,0.118,0.336,1456.8,3652,1,0,0
Qatar,2005,0.020,0.069,1060.4,888,1,0,0
Saudi Arabia,2005,0.077,0.275,1026.1,25392,1,0,0
Syria,2005,0.050,0.178,80.0,1450,1,0,0
Turkey,2005,0.025,0.075,178.0,12081,1,0,0
UAE,2005,0.037,0.232,1473.5,6604,1,0,0
Yemen,2005,0.043,0.132,39.8,816,1,0,0
Bahrain,2006,0.031,0.129,610.3,574,0,1,0
Egypt,2006,0.027,0.073,38.7,2953,1,0,0
Iran,2006,0.036,0.142,123.4,8751,0,1,0
Iraq,2006,0.019,0.038,44.6,1236,1,0,0
Israel,2006,0.074,0.169,1694.0,11443,0,0,1
Jordan,2006,0.047,0.127,126.9,702,1,0,0
Kuwait,2006,0.035,0.111,1505.7,3598,1,0,0
Lebanon,2006,0.046,0.127,248.7,1009,1,0,0
Oman,2006,0.108,0.315,1578.4,4030,1,0,0
Qatar,2006,0.018,0.062,1078.2,1066,1,0,0
Saudi Arabia,2006,0.078,0.288,1163.7,29581,1,0,0
Syria,2006,0.044,0.165,76.6,1435,1,0,0
Turkey,2006,0.025,0.075,194.5,13363,1,0,0
UAE,2006,0.032,0.206,1385.6,7165,1,0,0
Yemen,2006,0.036,0.115,39.0,822,1,0,0
Bahrain,2007,0.030,0.127,625.9,643,0,1,0
Egypt,2007,0.025,0.071,42.6,3307,1,0,0
Iran,2007,0.030,0.140,130.1,9331,0,1,0
Iraq,2007,0.022,0.049,70.0,1990,1,0,0
Israel,2007,0.067,0.159,1733.2,11995,0,0,1
Jordan,2007,0.060,0.162,179.3,1032,1,0,0
Kuwait,2007,0.036,0.119,1621.3,4116,1,0,0
Lebanon,2007,0.046,0.132,282.0,1152,1,0,0
Oman,2007,0.103,0.292,1667.9,4326,1,0,0
Qatar,2007,0.020,0.070,1325.1,1562,1,0,0
Saudi Arabia,2007,0.085,0.290,1359.8,35470,1,0,0
Syria,2007,0.041,0.159,82.3,1599,1,0,0
Turkey,2007,0.024,0.070,220.4,15319,1,0,0
UAE,2007,0.033,0.186,1407.8,8461,1,0,0
Yemen,2007,0.041,0.120,48.4,1050,1,0,0
Bahrain,2008,0.028,0.118,645.2,720,0,1,0
Egypt,2008,0.023,0.064,47.9,3780,1,0,0
Iran,2008,0.031,0.126,152.8,11082,0,1,0
Iraq,2008,0.024,0.041,106.9,3116,1,0,0
Israel,2008,0.065,0.157,1987.0,14095,0,0,1
Jordan,2008,0.062,0.179,226.0,1358,1,0,0
Kuwait,2008,0.030,0.074,1637.7,4430,1,0,0
